Stars,Title,Author/Byline,Publication Date,Type,Publication,Relevancy Group,Summary,Hyperlink
****,Next Autopilot trial to test Tesla’s blame-the-driver defense,"Dan Levine, Hyunjoo Jin",Mar 11 2024,News – Legal/Litigation,Reuters (U.S.),Product Liability / Internal Foreknowledge,Reveals Tesla never studied driver handover timing and knew Autopilot risks before adding monitoring cameras.,https://www.reuters.com/business/autos-transportation/next-autopilot-trial-test-teslas-blame-the-driver-defense-2024-03-11/
****,"Tesla video promoting self-driving was staged, engineer testifies",Hyunjoo Jin,Jan 18 2023,News – Litigation/Technology,Reuters (Technology News),Marketing Misrepresentation / Internal Communications,2016 promo video staged with pre-mapped route and interventions; internal memo admitted exaggeration.,https://www.reuters.com/technology/tesla-video-promoting-self-driving-was-staged-engineer-testifies-2023-01-17/
**,"Elon, or deepfake? Musk must face questions on Autopilot statements","Hyunjoo Jin, Dan Levine",Apr 27 2023,News – Legal,Reuters (Legal News),Musk Public Statements / Deposition,Judge compels Musk’s deposition about FSD safety claims amid 'deepfake' defense.,https://www.reuters.com/legal/elon-or-deepfake-musk-must-face-questions-autopilot-statements-2023-04-26/
***,Tesla offers U.S. customers a month’s trial of its driver-assist technology,"Hyunjoo Jin, Jyoti Narayan",Mar 26 2024,News – Business,Reuters (Autos News),Promotional Tactics / Data Collection Strategy,One‑month free FSD trial to boost engagements and gather data as FSD take-rate falls.,https://www.reuters.com/business/autos-transportation/tesla-give-one-month-driver-assist-technology-trial-customers-2024-03-26/
**,Tesla to offer US customers a free 1-month trial of Full Self Driving,Eric Walz,Mar 27 2024,Industry News,Automotive Dive,Promotional Tactics / Data Collection Strategy,Free trial aimed to counter declining FSD subscriptions; NHTSA recall context highlights safety tradeoffs.,https://www.automotivedive.com/news/tesla-free-fsd-trial/
****,Tesla leak reportedly shows thousands of Full Self-Driving safety complaints,Emma Roth,May 25 2023,News – Tech/Policy,The Verge,Whistleblower Data / Internal Foreknowledge,100 GB “Tesla Files” leak reveals thousands of autopilot/FSD safety complaints and internal suppression policies.,https://www.theverge.com/2023/5/25/23737972/tesla-whistleblower-leak-fsd-complaints-self-driving
****,"Report: ‘massive’ Tesla leak reveals data breaches, thousands of safety complaints",Guardian staff (via Handelsblatt),May 27 2023,News – International,The Guardian,Whistleblower Data / Internal Foreknowledge,"Handelsblatt-sourced leak: 4,000+ customer complaints and personal data exposures in Tesla files.",https://www.theguardian.com/technology/2023/may/27/tesla-files-massive-leak
****,Tesla ordered by Florida jury to pay $243 million in fatal Autopilot crash,"Jonathan Stempel, Abhirup Roy",Aug 1 2025,News – Court Verdict,Reuters (U.S.),Jury Verdict / Legal Risk,"Florida jury holds Tesla 33% liable for Autopilot crash, awarding $243M; underscores known misuse risks.",https://www.reuters.com/legal/litigation/tesla-ordered-by-florida-jury-pay-243-million-fatal-autopilot-crash-2025-08-01/
****,Tesla faces California suspension following DMV suit for false advertising,Teresa Moss,July 31 2025,News – Regulatory Hearing,Repairer Driven News (via BI),Regulatory Case / Misleading Claims,CA DMV accuses Tesla of false FSD claims; potential license suspension in Tesla’s largest market.,https://repairerdrivennews.com/2025/07/31/tesla-faces-california-suspension-following-dmv-suit/
**,The Lidar U-Turn: Elon Musk’s “Fool’s Errand” Becomes Tesla’s Secret Weapon,Lachlan Colquhoun,June 25 2024,Tech Analysis/News,CDOTrends (APAC),Sensor Strategy / Marketing Misrepresentation,"Musk’s anti-lidar stance contrasted with later secret LiDAR sourcing, reflecting Tesla’s evolving sensor strategy.",https://www.cdotrends.com/lidar-uturn-tesla-secret-weapon/
