Disclaimer: This file contains trip information collected to produce the Safety Score. Each record represents a trip. Trips on service mode or less than 0.1 miles in length are excluded as they are not included in the Safety Score calculation.,,,,,,,,,,,,,,
For more information about the Safety Score please refer to the support page: https://www.tesla.com/support/safety-score,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start time of trip (UTC),End time of trip (UTC),Miles driven on the trip,Miles driven on the trip while not using Autopilot,Seconds following with 1 second excluding Autopilot driving,Seconds following within 3 seconds excluding Autopilot driving,Unsafe following percent,Seconds experiencing longitudinal acceleration less than of -0.3g excluding Autopilot driving,Seconds experiencing longitudinal acceleration less than of -0.1g excluding Autopilot driving,Hard braking percent,Seconds experiencing lateral acceleration greater than 0.4g or less than -0.4g excluding Autopilot driving,Seconds experiencing lateral acceleration greater than 0.2g or less than -0.2g excluding Autopilot driving,Aggressive turning percent (AggressiveTurningNumerator / AggressiveTurningDenominator),Count of Forward Collision Warnings on the trip excluding warnings occurring while driving on Autopilot,Count of Forced Autopilot Disengagements on the trip
2023-07-20 07:05:03.270,2023-07-20 07:16:30.490,2.56,2.56,0,0,0,0,137999,0,0,8000,0,0,0
2023-07-20 07:30:14.112,2023-07-20 07:42:39.701,3.01,3.01,0,0,0,1000,78000,0.01,0,20001,0,0,0
2023-07-20 14:24:38.205,2023-07-20 14:43:41.628,9.14,9.14,0,0,0,8000,277001,0.03,2000,133999,0.01,0,0
2023-07-20 15:55:00.170,2023-07-20 15:57:28.677,0.37,0.37,0,0,0,0,19000,0,0,7000,0,0,0
2023-07-20 16:41:01.427,2023-07-20 17:02:23.384,6.87,6.87,0,0,0,4001,99000,0.04,2000,103001,0.02,0,0
2023-07-23 03:47:20.488,2023-07-23 04:19:34.070,16.09,3.55,0,0,0,3000,112000,0.03,1000,36001,0.03,0,0
2023-07-23 04:21:52.336,2023-07-23 04:24:41.036,0.22,0.22,0,0,0,0,11000,0,0,1000,0,0,0
2023-07-23 05:51:10.789,2023-07-23 05:59:11.605,4.44,2.71,0,19000,0,1000,73001,0.01,0,16999,0,0,0
2023-07-23 06:06:23.769,2023-07-23 06:36:23.877,19.71,9.63,8000,55000,0.15,1000,89997,0.01,1000,62998,0.02,0,0
2023-07-24 21:48:16.919,2023-07-24 23:19:58.830,83.01,60.23,276999,1661003,0.17,31001,811999,0.04,3000,247000,0.01,0,1
2023-07-24 23:27:40.549,2023-07-24 23:33:40.964,0.71,0.71,0,0,0,2000,53000,0.04,1000,11000,0.09,0,0
2023-07-25 00:10:45.517,2023-07-25 00:17:38.846,1.32,1.32,0,0,0,0,51000,0,0,5000,0,0,0
2023-07-25 00:33:23.591,2023-07-25 01:06:55.099,11.67,11.67,50000,143000,0.35,9000,285003,0.03,1000,22000,0.05,2,0
2023-07-25 02:47:27.712,2023-07-25 04:13:16.519,77.21,24.86,129001,470003,0.27,7000,184999,0.04,1000,92001,0.01,0,0
2023-07-25 04:16:38.174,2023-07-25 04:26:56.046,1.41,1.41,0,0,0,0,33000,0,0,5000,0,0,0
2023-07-25 14:14:01.085,2023-07-25 14:47:31.952,23.89,16.57,9000,186000,0.05,9001,339002,0.03,2000,130004,0.02,0,0
2023-07-25 14:52:43.811,2023-07-25 15:37:17.055,23.83,22.94,183999,479001,0.38,24000,363002,0.07,4001,55000,0.07,0,0
2023-07-26 00:54:38.452,2023-07-26 01:35:13.266,3.79,3.79,0,3000,0,0,92000,0,0,6000,0,0,0
2023-07-26 01:53:38.106,2023-07-26 01:55:25.615,0.29,0.29,0,0,0,0,9000,0,0,1000,0,0,0
2023-07-26 02:08:15.951,2023-07-26 02:09:40.651,0.22,0.22,0,0,0,0,9000,0,0,6000,0,0,0
2023-07-26 02:43:04.944,2023-07-26 03:01:27.647,11.58,5.41,7000,120000,0.06,7999,122004,0.07,0,21000,0,0,0
2023-07-26 04:02:48.705,2023-07-26 04:47:29.972,33.25,23.97,18000,98999,0.18,8999,243005,0.04,3000,159001,0.02,0,0
2023-07-26 14:38:57.861,2023-07-26 15:43:58.525,43.17,25.9,49000,379999,0.13,37999,605002,0.06,7000,282005,0.02,0,0
2023-07-27 00:29:16.910,2023-07-27 01:42:31.663,28.73,23.51,58001,400002,0.15,6000,312000,0.02,1000,22000,0.05,1,0
2023-07-27 02:24:55.969,2023-07-27 02:25:55.667,0.11,0.11,0,0,0,0,13000,0,0,3000,0,0,0
2023-07-27 02:31:44.533,2023-07-27 02:33:02.986,0.1,0.1,0,0,0,0,4000,0,0,5000,0,0,0
2023-07-27 02:34:25.387,2023-07-27 02:46:09.526,0.86,0.86,0,0,0,1000,27000,0.04,0,8000,0,0,0
2023-07-27 04:04:29.150,2023-07-27 04:32:02.769,15.98,6.66,0,2000,0,2000,119000,0.02,2000,113999,0.02,0,0
2023-07-27 22:13:56.702,2023-07-27 23:27:04.283,67.67,47.12,427002,1523002,0.28,24000,468003,0.05,6000,191003,0.03,0,0
2023-07-27 23:36:54.519,2023-07-28 00:22:12.649,22.73,17.2,71001,297001,0.24,10000,312004,0.03,0,39000,0,1,0
2023-07-28 00:22:54.647,2023-07-28 00:34:01.979,2.3,2.3,0,0,0,6000,77002,0.08,0,2000,0,1,0
2023-07-28 03:43:35.777,2023-07-28 03:54:01.352,1.83,1.83,0,0,0,0,43999,0,0,1000,0,0,0
2023-07-28 04:01:57.677,2023-07-28 04:27:23.333,1.47,1.47,0,0,0,0,30000,0,0,0,0,0,0
