"Disclaimer: This file contains trip information collected to produce the Safety Score. Each record represents a trip. Trips on service mode or less than 0.1 miles in length are excluded as they are not included in the Safety Score calculation."
"For more information about the Safety Score please refer to the support page: https://www.tesla.com/support/safety-score"


Start time of trip (UTC),End time of trip (UTC),Miles driven on the trip,Miles driven on the trip while not using Autopilot,Seconds following with 1 second excluding Autopilot driving,Seconds following within 3 seconds excluding Autopilot driving,Unsafe following percent,Seconds experiencing longitudinal acceleration less than of -0.3g excluding Autopilot driving,Seconds experiencing longitudinal acceleration less than of -0.1g excluding Autopilot driving,Hard braking percent,Seconds experiencing lateral acceleration greater than 0.4g or less than -0.4g excluding Autopilot driving,Seconds experiencing lateral acceleration greater than 0.2g or less than -0.2g excluding Autopilot driving,Aggressive turning percent (AggressiveTurningNumerator / AggressiveTurningDenominator),Count of Forward Collision Warnings on the trip excluding warnings occurring while driving on Autopilot,Count of Forced Autopilot Disengagements on the trip
"=""2023-07-20 07:05:03.270""","=""2023-07-20 07:16:30.490""",2.56,2.56,0.00,0.00,0.00,0.00,137999.00,0.00,0.00,8000.00,0.00,0.00,0.00
"=""2023-07-20 07:30:14.112""","=""2023-07-20 07:42:39.701""",3.01,3.01,0.00,0.00,0.00,1000.00,78000.00,0.01,0.00,20001.00,0.00,0.00,0.00
"=""2023-07-20 14:24:38.205""","=""2023-07-20 14:43:41.628""",9.14,9.14,0.00,0.00,0.00,8000.00,277001.00,0.03,2000.00,133999.00,0.01,0.00,0.00
"=""2023-07-20 15:55:00.170""","=""2023-07-20 15:57:28.677""",0.37,0.37,0.00,0.00,0.00,0.00,19000.00,0.00,0.00,7000.00,0.00,0.00,0.00
"=""2023-07-20 16:41:01.427""","=""2023-07-20 17:02:23.384""",6.87,6.87,0.00,0.00,0.00,4001.00,99000.00,0.04,2000.00,103001.00,0.02,0.00,0.00
"=""2023-07-23 03:47:20.488""","=""2023-07-23 04:19:34.070""",16.09,3.55,0.00,0.00,0.00,3000.00,112000.00,0.03,1000.00,36001.00,0.03,0.00,0.00
"=""2023-07-23 04:21:52.336""","=""2023-07-23 04:24:41.036""",0.22,0.22,0.00,0.00,0.00,0.00,11000.00,0.00,0.00,1000.00,0.00,0.00,0.00
"=""2023-07-23 05:51:10.789""","=""2023-07-23 05:59:11.605""",4.44,2.71,0.00,19000.00,0.00,1000.00,73001.00,0.01,0.00,16999.00,0.00,0.00,0.00
"=""2023-07-23 06:06:23.769""","=""2023-07-23 06:36:23.877""",19.71,9.63,8000.00,55000.00,0.15,1000.00,89997.00,0.01,1000.00,62998.00,0.02,0.00,0.00
"=""2023-07-24 21:48:16.919""","=""2023-07-24 23:19:58.830""",83.01,60.23,276999.00,1661003.00,0.17,31001.00,811999.00,0.04,3000.00,247000.00,0.01,0.00,1.00
